"","classes","counts"
"1","Wt",44.75
"2","Template-based",0
"3","Indels",55.25
"4","Delins",5.17
"5","Insertions",40.29
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",54.55
"9","Dels inframe",29.55
"10","Dels outfarme",70.45
