"","classes","counts"
"1","Wt",9.42
"2","Template-based",0
"3","Indels",90.58
"4","Delins",1.99
"5","Insertions",43.43
"6","Ins inframe",0.35
"7","Ins outfarme",99.65
"8","Deletions",54.59
"9","Dels inframe",33.05
"10","Dels outfarme",66.95
