"","classes","counts"
"1","Wt",74.86
"2","Template-based",0
"3","Indels",25.14
"4","Delins",13.79
"5","Insertions",28.88
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",57.33
"9","Dels inframe",19.55
"10","Dels outfarme",80.45
