"","classes","counts"
"1","Wt",43.5
"2","Template-based",0
"3","Indels",56.5
"4","Delins",2.53
"5","Insertions",32.37
"6","Ins inframe",0.77
"7","Ins outfarme",99.23
"8","Deletions",65.1
"9","Dels inframe",41.89
"10","Dels outfarme",58.11
