"","classes","counts"
"1","Wt",59.31
"2","Template-based",0
"3","Indels",40.69
"4","Delins",4.07
"5","Insertions",29.36
"6","Ins inframe",0.69
"7","Ins outfarme",99.31
"8","Deletions",66.58
"9","Dels inframe",36.35
"10","Dels outfarme",63.65
