"","classes","counts"
"1","Wt",24.4
"2","Template-based",0
"3","Indels",75.6
"4","Delins",1.73
"5","Insertions",33.89
"6","Ins inframe",0.49
"7","Ins outfarme",99.51
"8","Deletions",64.38
"9","Dels inframe",42.68
"10","Dels outfarme",57.32
