"","classes","counts"
"1","Wt",57.18
"2","Template-based",0
"3","Indels",42.82
"4","Delins",9.4
"5","Insertions",33.33
"6","Ins inframe",0.67
"7","Ins outfarme",99.33
"8","Deletions",57.27
"9","Dels inframe",26.17
"10","Dels outfarme",73.83
