"","classes","counts"
"1","Wt",41.19
"2","Template-based",0
"3","Indels",58.81
"4","Delins",2.15
"5","Insertions",33.3
"6","Ins inframe",0.97
"7","Ins outfarme",99.03
"8","Deletions",64.55
"9","Dels inframe",33.78
"10","Dels outfarme",66.22
