"","classes","counts"
"1","Wt",58.66
"2","Template-based",0
"3","Indels",41.34
"4","Delins",5.24
"5","Insertions",28.57
"6","Ins inframe",1.83
"7","Ins outfarme",98.17
"8","Deletions",66.19
"9","Dels inframe",40.2
"10","Dels outfarme",59.8
