"","classes","counts"
"1","Wt",24.98
"2","Template-based",0
"3","Indels",75.02
"4","Delins",2.09
"5","Insertions",33.7
"6","Ins inframe",1.09
"7","Ins outfarme",98.91
"8","Deletions",64.2
"9","Dels inframe",41.5
"10","Dels outfarme",58.5
