"","classes","counts"
"1","Wt",61.51
"2","Template-based",0
"3","Indels",38.49
"4","Delins",8.03
"5","Insertions",33.8
"6","Ins inframe",0.82
"7","Ins outfarme",99.18
"8","Deletions",58.17
"9","Dels inframe",27.62
"10","Dels outfarme",72.38
