"","classes","counts"
"1","Wt",77.66
"2","Template-based",0
"3","Indels",22.34
"4","Delins",7.93
"5","Insertions",25.69
"6","Ins inframe",1.34
"7","Ins outfarme",98.66
"8","Deletions",66.38
"9","Dels inframe",31.17
"10","Dels outfarme",68.83
