"","classes","counts"
"1","Wt",4.67
"2","Template-based",0
"3","Indels",95.33
"4","Delins",1.79
"5","Insertions",34.25
"6","Ins inframe",0.91
"7","Ins outfarme",99.09
"8","Deletions",63.95
"9","Dels inframe",43.91
"10","Dels outfarme",56.09
