"","classes","counts"
"1","Wt",87.9
"2","Template-based",0
"3","Indels",12.1
"4","Delins",36.62
"5","Insertions",1.41
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",61.97
"9","Dels inframe",12.5
"10","Dels outfarme",87.5
