"","classes","counts"
"1","Wt",77.04
"2","Template-based",0
"3","Indels",22.96
"4","Delins",8.35
"5","Insertions",26.61
"6","Ins inframe",0.97
"7","Ins outfarme",99.03
"8","Deletions",65.04
"9","Dels inframe",28.46
"10","Dels outfarme",71.54
