"","classes","counts"
"1","Wt",29.54
"2","Template-based",0
"3","Indels",70.46
"4","Delins",3.35
"5","Insertions",43.38
"6","Ins inframe",0.67
"7","Ins outfarme",99.33
"8","Deletions",53.28
"9","Dels inframe",34.43
"10","Dels outfarme",65.57
