"","classes","counts"
"1","Wt",31.26
"2","Template-based",0
"3","Indels",68.74
"4","Delins",2.27
"5","Insertions",43.07
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",54.67
"9","Dels inframe",33.9
"10","Dels outfarme",66.1
