"","classes","counts"
"1","Wt",10.72
"2","Template-based",0
"3","Indels",89.28
"4","Delins",1.5
"5","Insertions",47.45
"6","Ins inframe",1.27
"7","Ins outfarme",98.73
"8","Deletions",51.05
"9","Dels inframe",38.24
"10","Dels outfarme",61.76
