"","classes","counts"
"1","Wt",59.94
"2","Template-based",0
"3","Indels",40.06
"4","Delins",3.65
"5","Insertions",31.33
"6","Ins inframe",0.61
"7","Ins outfarme",99.39
"8","Deletions",65.02
"9","Dels inframe",38.42
"10","Dels outfarme",61.58
