"","classes","counts"
"1","Wt",92.51
"2","Template-based",0
"3","Indels",7.49
"4","Delins",18.09
"5","Insertions",4.26
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",77.66
"9","Dels inframe",1.37
"10","Dels outfarme",98.63
