"","classes","counts"
"1","Wt",32.29
"2","Template-based",0
"3","Indels",67.71
"4","Delins",2.71
"5","Insertions",46.57
"6","Ins inframe",0.34
"7","Ins outfarme",99.66
"8","Deletions",50.72
"9","Dels inframe",33.02
"10","Dels outfarme",66.98
