"","classes","counts"
"1","Wt",74.74
"2","Template-based",0
"3","Indels",25.26
"4","Delins",9.97
"5","Insertions",26.27
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",63.76
"9","Dels inframe",29.66
"10","Dels outfarme",70.34
