"","classes","counts"
"1","Wt",75.26
"2","Template-based",0
"3","Indels",24.74
"4","Delins",18.75
"5","Insertions",29.17
"6","Ins inframe",2.38
"7","Ins outfarme",97.62
"8","Deletions",52.08
"9","Dels inframe",16
"10","Dels outfarme",84
