"","classes","counts"
"1","Wt",8.92
"2","Template-based",0
"3","Indels",91.08
"4","Delins",2.11
"5","Insertions",45.01
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",52.88
"9","Dels inframe",33.03
"10","Dels outfarme",66.97
