"","classes","counts"
"1","Wt",47.77
"2","Template-based",0
"3","Indels",52.23
"4","Delins",5.48
"5","Insertions",37.42
"6","Ins inframe",0.43
"7","Ins outfarme",99.57
"8","Deletions",57.1
"9","Dels inframe",29.94
"10","Dels outfarme",70.06
