"","classes","counts"
"1","Wt",25.86
"2","Template-based",0
"3","Indels",74.14
"4","Delins",2.15
"5","Insertions",33.24
"6","Ins inframe",1.32
"7","Ins outfarme",98.68
"8","Deletions",64.61
"9","Dels inframe",40.94
"10","Dels outfarme",59.06
