"","classes","counts"
"1","Wt",55.74
"2","Template-based",0
"3","Indels",44.26
"4","Delins",6.08
"5","Insertions",34.39
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",59.52
"9","Dels inframe",27.11
"10","Dels outfarme",72.89
