"","classes","counts"
"1","Wt",49.6
"2","Template-based",0
"3","Indels",50.4
"4","Delins",4.72
"5","Insertions",42.66
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",52.62
"9","Dels inframe",27.91
"10","Dels outfarme",72.09
