"","classes","counts"
"1","Wt",88.35
"2","Template-based",0
"3","Indels",11.65
"4","Delins",27.21
"5","Insertions",2.21
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",70.59
"9","Dels inframe",6.25
"10","Dels outfarme",93.75
