"","classes","counts"
"1","Wt",5.15
"2","Template-based",0
"3","Indels",94.85
"4","Delins",1.84
"5","Insertions",33.86
"6","Ins inframe",0.89
"7","Ins outfarme",99.11
"8","Deletions",64.3
"9","Dels inframe",42.34
"10","Dels outfarme",57.66
