"","classes","counts"
"1","Wt",93
"2","Template-based",0
"3","Indels",7
"4","Delins",24.66
"5","Insertions",4.48
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",70.85
"9","Dels inframe",4.43
"10","Dels outfarme",95.57
