"","classes","counts"
"1","Wt",92.65
"2","Template-based",0
"3","Indels",7.35
"4","Delins",17.47
"5","Insertions",4.83
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",77.7
"9","Dels inframe",5.74
"10","Dels outfarme",94.26
