"","classes","counts"
"1","Wt",75.03
"2","Template-based",0
"3","Indels",24.97
"4","Delins",17.89
"5","Insertions",22.48
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",59.63
"9","Dels inframe",26.15
"10","Dels outfarme",73.85
