"","classes","counts"
"1","Wt",44.1
"2","Template-based",0
"3","Indels",55.9
"4","Delins",2.63
"5","Insertions",31.79
"6","Ins inframe",0.7
"7","Ins outfarme",99.3
"8","Deletions",65.58
"9","Dels inframe",38.05
"10","Dels outfarme",61.95
