"","classes","counts"
"1","Wt",88.5
"2","Template-based",0
"3","Indels",11.5
"4","Delins",29.52
"5","Insertions",3.01
"6","Ins inframe",0
"7","Ins outfarme",100
"8","Deletions",67.47
"9","Dels inframe",4.46
"10","Dels outfarme",95.54
